,HCA,ELV,LRCX,GOOGL,TSLA,MC.PA,NVDA,AAPL,MSFT
2016-01-25,0.06925215290521033,-0.2521096571703217,0.5272524079235467,-0.893353351552182,-0.11170357935263393,0.8717969602508591,-0.24079170925412968,1.5695877982942121,-0.5399310220445611
2016-01-26,-0.05984049447328712,-0.14122353348169092,0.5493377121493236,-0.4158723385274123,-0.06995960641468459,0.6857536309697938,-0.42702205646652935,1.6637239668517112,-0.7848972806072244
2016-01-27,-0.10220810563385427,-0.18883189644869172,0.7317976909626704,-0.5301448093247053,-0.07203734950613554,0.823155146079962,-0.35438159643787787,1.9170194084277108,-1.2243684881190786
2016-01-28,-0.09538760797129374,-0.03532059581181641,0.47534749876037274,-0.3564874053939547,0.06256651767965007,0.5055442534375252,-0.30382443376258517,1.7529270701896758,-1.005365297127574
2016-01-29,-0.1590426675958236,0.08914102099761276,0.27829638164208864,-0.7926034101840306,-0.035840288344487124,0.7249807646321889,-0.23946334797965663,1.9028946888702332,-0.7683631420381255
2016-02-01,-0.3314196272364314,-0.1560062665029514,0.5577455879402726,-1.311010706307471,1.10287750886744,0.8957308200773788,-0.6723620851621834,2.986228130388769,-2.0717833620648234
2016-02-02,-0.5111128004429847,-0.0009026616934586592,0.45645964012241963,-1.381011492523828,0.8737046838689373,1.040554991147654,-0.7360262331919815,3.1696375898698546,-1.911303717156613
2016-02-03,-0.5531111100245569,-0.12798900698994478,0.2231604565687976,-1.665284250352514,1.018500251516799,0.7953325708382759,0.3332333824434881,2.6719548924492527,-1.6957971864495973
2016-02-04,-0.313585863003469,-0.13370914819449828,-0.07576012553710125,-1.0325490423708754,1.4361361227131353,0.14643451264132584,0.23333258001667445,2.248388954394711,-1.5086879906599027
2016-02-05,-0.3109683759894816,-0.0012043149977914406,-0.0572275193377036,-0.28147642804804235,0.9800432702999261,0.17069627036799173,0.14397305579809866,1.690899828552841,-1.3347357866458378
2016-02-08,-0.4882122254178929,-0.052581115093754405,0.043811731648007654,-0.029210934386229844,0.9137514299164066,0.2075189949302314,0.1962031630877212,1.1864061951403548,-0.9776872398248444
